상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,카테고리코드,판매상태,옵션명1,옵션값1,재고수량
64d3204ff8bceb7f0c42bf43,29-22,일화 천연사이다 250ml 60개,30600.0,39780.0,0.0,0.0,0.0,,,,103409,판매중,일화 천연사이다 250ml 60개,일화 천연사이다 250ml 60개,9999
64d3208a15e27a00da727aab,27-330,롯데칠성 마운틴듀 355ml 48개,32700.0,42510.0,0.0,0.0,0.0,,,,103407,판매중,롯데칠성 마운틴듀 355ml 48개,롯데칠성 마운틴듀 355ml 48개,9999
64d320d89ed64b7ffa75092a,31-17-01,스프라이트 250ml 60개,42800.0,53200.0,0.0,0.0,0.0,,,,103409,판매중,스프라이트 250ml 60개,스프라이트 250ml 60개,9999
64d321318bbf5681beff01ef,29-04-02,일화 천연사이다 350ml 48개,30400.0,39520.0,0.0,0.0,0.0,,,,103409,판매중,일화 천연사이다 350ml 48개,일화 천연사이다 350ml 48개,9999
64d321862a9f9f721e4f192c,32-30-02,해태 갈아만든배 사이다 355ml 48개,33600.0,43680.0,0.0,0.0,0.0,,,,103355,판매중,해태 갈아만든배 사이다 355ml 48개,해태 갈아만든배 사이다 355ml 48개,9999
64d321d95b59d9c77fe62b7d,29-30.,일화 한라봉에이드 350ml 캔 48개,27600.0,35880.0,0.0,0.0,0.0,,,,103410,판매중,일화 한라봉에이드 350ml 캔 48개,일화 한라봉에이드 350ml 캔 48개,9999
64d3222e0d022331eec4fd99,35-16,참맑은 참대추 175ml 90개,30700.0,39910.0,0.0,0.0,0.0,,,,103394,판매중,참맑은 참대추 175ml 90개,참맑은 참대추 175ml 90개,9999
64d324577dc7b595e8a36de8,31-42,환타 오렌지 캔 190ml 90개,53200.0,69160.0,0.0,0.0,0.0,,,,103407,판매중,환타 오렌지 캔 190ml 90개,환타 오렌지 캔 190ml 90개,9999
64d32494593632a3d5af5dec,35-16-01,참맑은 제주감귤 캔 175ml 90개,30300.0,39390.0,0.0,0.0,0.0,,,,103354,판매중,참맑은 제주감귤 캔 175ml 90개,참맑은 제주감귤 캔 175ml 90개,9994
64d3274f20f20d8e60caef15,35-02,참맑은 녹차 캔 175ml 90개,26100.0,33930.0,0.0,0.0,0.0,,,,103397,판매중,참맑은 녹차 캔 175ml 90개,참맑은 녹차 캔 175ml 90개,9999
