관리코드,소분/일반,상품명,규격,내품수량,배송비 부과 규칙 (규격 기준),공급가(VAT 포함),배송비,원코드,운영
SP200G6EA-57-02,소분,[낱개]한성런천미트200 [200g*6],200g*6,6.0,4,5900,3000,57-02,-
SP300G5EA-15-03-10,소분,[낱개]스팸클래식300 [300g*5],300g*5,5.0,4,16000,3000,15-03-10,-
SP200G6EA-15-03-13,소분,[낱개]스팸마일드 기획 200 [200g*6],200g*6,6.0,6,15200,3000,15-03-13,-
15-15-06,일반,Cj 햇반200g(10입)/64,200g*(10입*3),30.0,1,23500,3000,,-
21-103,일반,GT두유검은콩깨병(고소한)/64,200*(10*3),30.0,1,18500,3000,,-
21-100,일반,GT맛두유고칼슘팩(검은콩.깨)190(180),190ml*24,24.0,3,7600,3000,,-
20-01-01,일반,광동 옥수수수염차340 (104),340ml*20,20.0,2,12300,3000,,-
20-02-02,일반,광동 옥수수수염차500ml(72),500ml*20,20.0,1,15100,3000,,-
20-07-04,일반,광동 헛개차340(104),340ml*20,20.0,2,12300,3000,,-
20-14-02,일반,광동비타500 240캔(30입) (132),240ml*30,30.0,1,14500,3000,,-
20-18,일반,광동옥수수염차캔 180 (168),180ml*30,30.0,3,7900,3000,,-
20-08-04,일반,광동헛개500ml(72),500ml*20,20.0,1,15200,3000,,-
20-15,일반,광동헛개차캔 175 (154),175ml*30,30.0,3,6900,3000,,-
21-108-110-02,일반,남양 프렌치카페커피믹스 20t(52),20T*24,24.0,1,68100,3000,,-
21-108-110-11,일반,남양프렌치카페커피믹스 140+20(40),(140+20)*4,4.0,1,66900,3000,,-
21-108-110-07,일반,남양프렌치카페커피믹스90+10 (30),(90T+10T)*8,8.0,1,86400,3000,,-
12-18-11,일반,동원 쿨피스 복숭아뚱캔 350 24입(90),350ml*24,24.0,2,11900,3000,,-
27-07-02,일반,레쓰비175업소(143),175ml*30,30.0,3,9100,3000,,-
81-25,일반,롯데 수미네잔치집식혜뚱340 (100),340ml*24,24.0,2,11400,3000,,-
25-01,일반,매일카페라떼마일드컵 (126),220ml*10,10.0,2,10900,3000,,-
25-02,일반,매일카페라떼카라멜마끼아또컵 (126),220ml*10,10.0,2,10900,3000,,-
31-03-01,일반,몬스터 에너지울트라(흰색)355(108),355ml*24,24.0,2,32900,3000,,-
31-03-03,일반,몬스터 에너지울트라시트라(노랑)355,355ml*24,24.0,2,29200,3000,,-
24-704-04,일반,스타벅스 더블샷 에스프레소&크림(캔)200ml(108),200ml*36,36.0,3,41000,3000,,-
31-17,일반,스프라이트캔 355(업소) (88/100),355ml*24,24.0,2,13200,3000,,-
23-05,일반,웅진 맑게우려낸 누룽지500 (72),500ml*20,20.0,1,11500,3000,,-
23-19,일반,웅진자연은초록매실캔 180 (132),180ml*30,30.0,3,7000,3000,,-
23-18,일반,웅진하늘보리 500 (72),500ml*20,20.0,1,10700,3000,,-
23-18,일반,웅진하늘보리 500 (72),500ml*20,20.0,1,10700,3000,,-
23-35,일반,웅진헛개차500 (72)(66),500ml*20,20.0,1,11500,3000,,-
39-91,일반,진라면[매운맛]멀티팩40 (70),(5*8),40.0,1,22400,3000,,-
27-16,일반,칠성사이다 355업소용 (99),355ml*24,24.0,2,15200,3000,,-
80-07,일반,칸타타 스위트아메리카노275(빨강)(88)/24입,(6본*4),24.0,2,23100,3000,,-
80-09,일반,칸타타 카라멜마끼아또275(주황)(99)/24입,(6본*4),24.0,2,23100,3000,,-
80-06,일반,칸타타 프리미엄라떼275(노랑)(99)/24입,(6본*4),24.0,2,23100,3000,,-
31-01-04,일반,코카콜라 245ml (업소용)슬림(99),245ml*30,30.0,2,15800,3000,,-
31-01-05,일반,코카콜라 250 (99),250ml*30,30.0,2,24800,3000,,-
31-03-05,일반,코카콜라355업소(88)(100)/바코드없음,355ml*24,24.0,2,17200,3000,,-
31-04-02,일반,코카콜라500 [업소](48),500ml*24,24.0,1,17200,3000,,-
31-04-03,일반,코카콜라500제로(업소)/48,500ml*24,24.0,1,17300,3000,,-
31-22-02,일반,코카콜라제로 355 (업소용),355ml*24,24.0,2,17200,3000,,-
24-06-09,일반,티오피 더블랙200(6팩) (108),200ml*36,36.0,2,22600,3000,,-
24-175,일반,티오피 더블랙275(6팩)/110,275ml*24,24.0,2,21400,3000,,-
24-35-03,일반,티오피 더블랙380(6팩)/80,380ml*24,24.0,1,26000,3000,,-
24-06-07,일반,티오피 마스터라떼200(6팩) (108),200ml*36,36.0,2,22600,3000,,-
24-173,일반,티오피 마스터라떼275(6팩)/110,275ml*24,24.0,2,21400,3000,,-
24-35-01,일반,티오피 마스터라떼380(6팩)/80,380ml*24,24.0,1,26000,3000,,-
24-06-08,일반,티오피 스위트아메리카노200(6팩) (108),200ml*36,36.0,2,22600,3000,,-
24-174,일반,티오피 스위트아메리카노275(6팩)/110,275ml*24,24.0,2,21400,3000,,-
24-35-02,일반,티오피 스위트아메리카노380(6팩)/80,380ml*24,24.0,1,26000,3000,,-
31-13-01,일반,파워에이드[뚱340] (88),340ml*24,24.0,2,14300,3000,,-
31-13,일반,파워에이드240(99/132),240ml*30,30.0,2,12100,3000,,-
27-36,일반,펩시콜라 355 (업소용) (99),355ml*24,24.0,2,13600,3000,,-
27-37,일반,펩시콜라제로355 (업소용) (99),355ml*24,24.0,2,14200,3000,,-
27-014,일반,핫식스355ml(99),355ml*24,24.0,2,19300,3000,,-
27-01-02,일반,핫식스캔 250 (96),250ml*30,30.0,2,17500,3000,,-
31-47-12,일반,환타오렌지 355 (업소용)/(88/100),355ml*24,24.0,2,13800,3000,,-
31-47-13,일반,환타파인 355(업소용) /(100),355ml*24,24.0,2,13800,3000,,-
31-47-14,일반,환타포도350,350ml*24,24.0,2,14200,3000,,-
50-21-01,선물세트,동원들기름김식탁24P 3세트,,,1,27800,3000,,X
50-20-01,선물세트,동원올리브김식탁24P 3세트,,,1,27800,3000,,X
01-19-10,선물세트,청정원 스페셜S호 1세트,,,4,11900,3000,,O
50-32,선물세트,동원리챔G9호(리챔6호) 1세트,,,5,23600,3000,,O
45-12-06,선물세트,CJ 스팸특별한선택 H-2호 1세트,,,5,14400,3000,,O
45-12-06,선물세트,CJ 스팸특별한선택 H-2호 1세트,,,5,14400,3000,,O
50-71-02,선물세트,동원스페셜5호 1세트,,,5,19500,3000,,O
50-75-02,선물세트,동원튜나리챔77호(캔57호) 1세트,,,4,32100,3000,,O
45-12-04,선물세트,CJ특별한선택골드라벨 1세트,,,3,39800,3000,,X
45-20-+01,선물세트,애경사랑다온14호 1세트,,,5,10200,3000,,X
45-27,선물세트,CJ스팸복합2호 1세트,,,4,24700,3000,,O
45-11,선물세트,CJ스팸복합1호 1세트,,,5,21100,3000,,O
50-24-01,선물세트,동원튜나런천67호 1세트,,,4,28700,3000,,X
50-71-03,선물세트,동원프리미엄60호 1세트,,,5,24200,3000,,X
01-17,선물세트,청정원 스페셜 NH2호 1세트,,,3,22100,3000,,O
45-10-01,선물세트,CJ스팸3호 1세트,,,4,45300,3000,,O
45-07,선물세트,CJ 스페셜 G호 1세트,,,3,26300,3000,,O
50-72,선물세트,동원참치M12호 1세트,,,5,24500,3000,,X
01-19-06,선물세트,청정원 L6호 1세트,,,4,18400,3000,,X
51-30-02,선물세트,동원참치T21호 1세트,,,3,48000,3000,,O
01-19-04,선물세트,청정원 고급유6호 1세트,,,8,8600,3000,,X
45-21,선물세트,CJ스팸8호 1세트,,,5,23300,3000,,O
45-10-09,선물세트,CJ 스팸12K호 1세트,,,4,21200,3000,,O
45-05,선물세트,CJ스팸6호 1세트,,,4,34400,3000,,O
51-30-01,선물세트,동원참치T14호 1세트,,,5,31500,3000,,O
83-62-01,선물세트,사조 안심특선79호 1세트,,,4,18800,3000,,O
45-10-10,선물세트,CJ 스팸12호 1세트,,,5,21400,3000,,O
50-72-01,선물세트,동원참치NS15호 1세트,,,6,26500,3000,,O
51-31,선물세트,동원참치S12호 1세트,,,6,21800,3000,,O
51-30,선물세트,동원참치T12호 1세트,,,5,27000,3000,,O
51-30-03,선물세트,동원참치T18호 1세트,,,3,40500,3000,,O
83-62,선물세트,사조 안심특선88호 1세트,,,4,16500,3000,,O
"PC005981
",소분,"[낱개]가마치 삼계탕 1kg [1kg*1]
",,"1
",8,5000,3000,"94-38-00
",
"PC005982
",소분,"[낱개]밀리원 삼계탕 1kg [1kg*1]
",,"1
","8
",5000,3000,"94-38-01
",
