관리코드,상품명,규격
22-22-01,팔도왕뚜껑UP,130*18
22-22,팔도왕뚜껑,110g*18
54-21,팔도비빔면멀티(40입)/(56/64),5*8
54-21-04,팔도비빔면기획 (5+1),(6*8)
54-21-03,팔도비빔면 컵,115*16
60-09,팔도비락반품,
22-40,팔도라볶이(32입),(4*8)
81-04,팔도도시락컵,86g*24
22-23-07,팔도더왕뚜껑 멀티 (4입),(4*8)
22-42,팔도남자라면멀티(40),5*8
22-36,팔도꼬꼬면멀티(40입),(5*8)
22-23-01,팔도김치왕뚜껑,110g*18
81-05,팔도김치도시락컵,(86*24)
54-100,파워오투[오렌지레몬] (48),500ml*24
54-102,파워오투(애플키위) (48),500ml*24
54-101,파워오투(아이스베리)(48),500ml*24
31-13-05,파워에이드 퍼플스톰(메탈)600,600ml*20
31-13-03,파워에이드600(54),600ml*20
31-13,파워에이드240(99/132),240ml*30
31-13-01,파워에이드[뚱340] (88),340ml*24
31-13-02,파워에이드 355 (PET),355ml*20
31-16,파워에이드 1.5 (32),1.5L*12
20-07-01,팁코오렌지500ml,500ml*12
20-07-02,팁코브로콜리500lml,500ml*12
24-072,티오피콜드브루아메리카노 275,275ml*20
24-073,티오피콜드브루스위트아메리카노 275,275ml*20
24-07-08,티오피초콜릿모카 275 (120),275ml*20
24-36-01,티오피심플리스무스스위트240ml(펫),(240ml*20)
24-36-02,티오피심플리스무스블랙240ml(펫),(240ml*20)
24-36-08,동서티오피심플리스무스로스티블랙360ml(펫),(360ml*20)
24-36-07,동서티오피심플리스무스로스티라떼360ml(펫),(360ml*20)
24-36-06,티오피심플리스무스로스트티 블랙380캔,500*20
24-36-04,티오피심플리스무스로스트티 라떼380캔,380*20
24-36,티오피심플리스무스라떼240ml(펫),(240ml*20)
24-705,티오피시그니쳐블랙 275,275ml*20
24-07-01,티오피스위트아메 275 (초록)(120),275ml*20
24-06-09,티오피 더블랙200(6팩) (108),200ml*36
24-07,티오피마스터라떼 275 (노랑)(120),275ml*20
24-07-03,티오피더블랙 275 (120),275ml*20
24-08-01,동서티오피200스위트(144),200ml*30
24-08,동서티오피200마스터라떼(144),200ml*30
24-08-02,동서티오피200더블랙(144),200ml*30
24-06-08,티오피 스위트아메리카노200(6팩) (108),200ml*36
24-07-05,티오피 스모키블랙275(120),275ml*20
24-07-04,티오피 스모키라떼275(120),275ml*20
24-06-07,티오피 마스터라떼200(6팩) (108),200ml*36
45-12.,특선16호(제당),4셋트
27-94,트로피카나스파클링포도355/롯데칠성,355ml*24
27-93-04,트로피카나스파클링파인355/롯데칠성,355ml*24
27-94-01,트로피카나스파클링오렌지355/롯데칠성,355ml*24
27-93-02,트로피카나스파클링사과355/롯데칠성,355ml*24
27-93-03,트로피카나스파클링복숭아355/롯데칠성,355ml*24
27-94-03,트로피카나스파클링망고355/롯데칠성,355ml*24
27-17-02,트레비플레인 500 (77),500ml*20
27-2-02,트레비플레인 355,355ml*24
27-17-03,트레비자몽 500 (77),500ml*20
27-17-01,트레비레몬 500 (77),500ml*20
27-2-01,트레비레몬 355,355ml*24
27-17,트레비라임 500(77),500ml*20
27-2,트레비라임 355,355ml*24
27-2-03,트레비라임 300 (20입),300ml*20
21-17-03,트레비(플레인)190ml/143,190ml*30
52-32,튜립햄340,340g*24
52-33,튜립햄(A),1810*12
54-24-03,톡톡 왕꿈틀이캔디 포도맛16g,(16g*12)*6
54-24-02,톡톡 왕꿈틀이캔디 딸기맛16g,(16g*12)*6
27-14,토마스헨리토닉워터,200ml*24
25-50-04,진로토닉워터캔250 (121),250ml*30
10-19-01,테이프 투명(아크릴),48*78
01-111-02,택배비b-반품,
01-111-01,택배비a-반품,
15-02,택배비 나들 제주,"\3,000"
15-01-03,택배비 CJ택배 클레임 합의서,
01-111,택배비 2500,
06-30,태평양아모레퍼시픽 종합 3호/6세트-(BOX),6set
29-52-01,탑씨포도캔 170(143),170ml*30
29-53,탑씨파인애플캔 170(143),170ml*30
29-54,탑씨콜라 170(143),170ml*30
29-52,탑씨오렌지 170(143),170ml*30
29-07-01,탑씨 포도 1.5 (40),1.5L*12
29-08,탑씨 파인애플 1.5 (40),1.5L*12
29-08-01,탑씨 콜라 1.5 (40),1.5L*12
29-07,탑씨 오렌지 1.5 (40),1.5L*12
36-83,타임종이컵(72),
36-111,타이거에탄올워셔액,1.8L*12
31-31,킨사이다캔240ml,240ml*30
31-27,킨사이다 355,355ml*24
31-23.,킨사이다 1.5,1.5L*12
31-23,킨사이다 (업소) 1.5 (44/40),1.5L*12
03-01.,크린유니락스 2L(60),2L*6
03-01,크린유니락스 1L,1L*12
15-47-06,큐원흑설탕1kg(삼양/ 64),1kg*20
15-60,큐원하얀설탕3K(삼양)(70),3k*8
15-61,큐원하얀설탕15k(삼양)(84),15kg
15-47,큐원하얀설탕 1kg (삼양),1kg*20
15-60-02,큐원 갈색설탕3k(삼양) (50),3k*8
15-47-02,큐원갈색설탕1kg(삼양),1kg*20
15-61-03,큐원갈색설탕15kg(삼양)(84),15kg
15-62,큐원 흑설탕15kg (삼양/ 84),15kg
54-10-03,큐원 상쾌환3g,{(3g*3입)*6pack}*8case
22-60,쿠퍼스헛개차 500,500ml*20
24-070,맥스웰 콜롬비아나 마스터카페라떼240(120),240ml*30
24-071-01,맥스웰 콜롬비아나 마스터 오리지날블랙240/120,240ml*30
24-071,맥스웰 콜롬비아나 마스터스위트아메리카노240(120),240ml*30
60-06-01,콜라파렛트,
60-06,콜라반품,0
01-18-01,콘푸라이트 베리요거트바 108g,108g*20
32-19-04,코코팜화이트뚱캔340,340ml*24
32-19-07,코코팜화이트뚱캔340,340*24
32-19-02,코코팜피치핑크뚱캔340,340ml*24
32-19-01,코코팜피치핑크(복숭아/스쿨존)240,240ml*30
32-19-03,코코팜포도뚱캔340,340ml*24
32-19,코코팜포도24입/해태,238ml*24
32-26,코코팜탱글탱글포도1.5,1.5L*12
32-25,코코팜탱글탱글복숭아1.5,1.5L*12
32-19-06,코코팜망고뚱캔(코코넛)340,340ml*24
31-01-12,코카콜라알루미늄보틀(카카오),250ml*30
31-28-05,코카콜라제로500(6입),500ml*6
31-28,코카콜라제로500,500ml*24
31-01-06,코카콜라제로250(99),250ml*30
31-22-01,코카콜라제로 300,300ml*24
31-28-01,코카콜라제로 1.5(44),1.5L*12
31-01-05,코카콜라 250 (99),250ml*30
31-30,코카콜라 태양의식후비법W차,500ml*24
31-05-03,코카콜라기획1.5*6+스프1.5*6기획,콜라기획1.5*6+스프1.5*6기획(44)
31-05-04,코카콜라기획 1.5*6+환타오렌지1.5*6기획(44),콜라기획1.5*6+환타오렌지1.5*6기획
31-37,코카콜라글라소파워씨(빨강)500,500ml*12
31-36,코카콜라글라소트리플엑스(블랙)500,500ml*12
31-38,코카콜라글라소에센셜500,500ml*12
31-35,코카콜라글라소에너지(노란색)500,500ml*12
31-34,코카콜라글라소멀티브이(초록)500,500ml*12
31-04-02,코카콜라500 [업소](48),500ml*24
31-03-05,코카콜라355업소(88)(100)/바코드없음,355ml*24
31-01-02,코카콜라210ml,210ml*30
31-01-01,코카콜라190 (126)(132),190ml*30
31-50-03,코카콜라/토레타뚱캔340 (88)(100),340ml*24
31-50,코카콜라/토레타240,240ml*30
31-50-02,코카콜라/토레타1.5 (32),1.5L*12
31-50-01,코카콜라/토레타 500(70),500ml*24
31-05-01,코카콜라(업소) 1.25(45),1.25L*12
31-01-03,코카콜라 스터비245 (120),245ml*24
31-04-01,코카콜라 500 (48/60),500ml*24
31-03,코카콜라 355/ 바코드O (88),355ml*24
31-04,코카콜라 300(pet),300(pet)*24
31-01-04,코카콜라 245ml (업소용)슬림(99),245ml*30
31-05-02,코카콜라 1.8,1.8L*12
31-05,코카콜라 1.5(40),1.5L*12
01-18,켈로그) 콘푸로스트600 (24)(20),600g*12
02-04,케라시스(볼륨)600*3,(600샴푸2+린스)*6
02-45,케라시스(모이스체)6644,6644*8
02-46.,케라시스(두피스케일링)800,800*8
02-41,케라시스(두피)600*3,(600샴푸2+린스)*6
02-44,케라시스(데미지)6644,6644*8
02-04.,케라시스(데미지)600*3,(600샴푸2+린스)*6
28-12-01,컨피던스 180ml,180*30
55-01-03,컨디션환스틱3g,3g*200
55-02-01,컨디션레이디100ml(10병),100ml*10병
55-13,컨디션CEO(쎄오) 150ml(6입),150ml*6입
32-50,캘리포니아레몬에이드,355ml*24
02-47,캐라시스(두피클리닉)800,800*8
31-11,캐나다드라이/토닉워터캔(99/132)코카,250ml*30
31-55,캐나다드라이/클럽소다(99/132),250ml*30
31-29,캐나다드라이/진저엘(99/132),250ml*30
27-45,칸타타프리미엄라떼 275(노랑) (121),275*20
27-44,칸타타프리미엄라떼 175 (노랑)(143),175ml*30
27-45-03,칸타타콜드브루블랙 275(132),275ml*20
27-45-04,칸타타콜드브루라떼 275,275ml*24
27-45-05,칸타타콘트라베이스 콜드브루 라떼 500ml,500ml*24
27-44-01,칸타타스위트아메리카노(빨강) 175(143),175ml*30
27-45-01,칸타타스위트아메리카노 275(빨강) (132),275*20
27-44-03,칸타타스위트아메리카 200ml,200ml*30
27-44-02,칸타타 프리미엄 200ml,200ml*30
27-45-09,칸타타 콘트라베이스 콜드브루블랙500(6입),500ml*6
27-45-06,칸타타 콘트라베이스 콜드브루 블랙500ml,500ml*24
27-45-08,칸타타 콘트라베이스 콜드브루라떼500(6입),500ml*6
27-45-10,칸타타 콘트라베이스 스위트블랙(6입),500ml*6
27-45-07,칸타타 콘트라베이스 콜드브루 스위트 블랙 500ml,500ml*24
27-45-02,칸타타 카라멜 마키아토 275,275ml * 20
32-37,칵테일샤인온더비치뚱캔340,340ml*24
24-49-06,카프리썬(페어리드링크)(378),200ml*10
24-49-01,카프리썬(오렌지망고)(378),200ml*10
24-49,카프리썬(오렌지)(378),200ml*10
24-49-05,카프리썬(알래스카아아스티)(378),200ml*10
24-49-02,카프리썬(사파리맛)(378),200ml*10
24-49-04,카프리썬(사과맛) (378),200ml*10
200-07,카드수수료,
27-01-01,칠성사이다캔250 (110),250ml*30
27-01,칠성사이다캔 190 (143),190ml*30
27-01-05,칠성사이다제로캔250,250ml*30
27-28-02,칠성사이다제로1.5,1.5L*12
27-18,칠성사이다pet 300,300ml*20
27-28-04,칠성사이다1.8(6입),1.8*6
27-25,칠성사이다 500(77),500ml*20
27-25-01,칠성사이다 500 (업소용) (77),500ml*20
27-16,칠성사이다 355업소용 (99),355ml*24
27-28-01,칠성사이다 1.5 (55),1.5L*12
