상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드
93385231565,PC001958,"백설 콩기름, 1.8L, 10개",57700.0,72000.0,0.0,0.0,0.0,,,
93385012268,PC001081,"유동 자연산골뱅이 140g 골뱅이 통조림 안주, 1개",8190.0,10100.0,0.0,0.0,0.0,,,
93385012273,PC001081,"유동 자연산 골뱅이, 140g, 2개",13340.0,16500.0,0.0,0.0,0.0,,,
93385012298,PC001081,"유동 자연산 골뱅이, 140g, 3개",17640.0,21800.0,0.0,0.0,0.0,,,
93385012318,PC001081,"유동 자연산 골뱅이 통조림, 140g, 4개",21950.0,27200.0,0.0,0.0,0.0,,,
93385012276,PC001081,"유동 자연산 골뱅이140g 5개, 140g",26250.0,32500.0,0.0,0.0,0.0,,,
93385012279,PC001081,"유동 골뱅이(소) 140g(자연산), 140g, 6개",30560.0,37800.0,0.0,0.0,0.0,,,
93385012265,PC001081,"유동 자연산 골뱅이, 140g, 7개",34860.0,43200.0,0.0,0.0,0.0,,,
93385012288,PC001081,"유동 자연산 골뱅이, 140g, 8개",39170.0,48500.0,0.0,0.0,0.0,,,
93385012281,PC001081,"유동 자연산 골뱅이, 140g, 9개",43470.0,53800.0,0.0,0.0,0.0,,,
93385012263,PC001081,"유동 자연산 골뱅이 140g, 10개",47670.0,59000.0,0.0,0.0,0.0,,,
93385012262,PC001081,"유동 자연산 골뱅이, 140g, 11개",51980.0,64400.0,0.0,0.0,0.0,,,
93385012293,PC001081,"유동 자연산골뱅이 140g (12캔), 12개",56280.0,69700.0,0.0,0.0,0.0,,,
93385012303,PC001081,"유동 자연산 골뱅이, 140g, 13개",60590.0,75000.0,0.0,0.0,0.0,,,
93385012284,PC001081,"유동 자연산 골뱅이, 140g, 14개",64890.0,80300.0,0.0,0.0,0.0,,,
93385012267,PC001081,"유동 자연산 골뱅이, 140g, 15개",69200.0,85700.0,0.0,0.0,0.0,,,
93385012294,PC001081,"유동 자연산 골뱅이, 140g, 16개",73500.0,91000.0,0.0,0.0,0.0,,,
93385012260,PC001081,"유동 자연산 골뱅이, 140g, 17개",77810.0,96300.0,0.0,0.0,0.0,,,
93385012277,PC001081,"유동 자연산 골뱅이, 140g, 18개",82010.0,101500.0,0.0,0.0,0.0,,,
93385012313,PC001081,"유동 자연산 골뱅이, 140g, 19개",86310.0,106900.0,0.0,0.0,0.0,,,
93385012283,PC001081,"유동 자연산 골뱅이, 140g, 20개",90620.0,112200.0,0.0,0.0,0.0,,,
93385012271,PC001081,"유동 자연산 골뱅이, 140g, 21개",94920.0,117500.0,0.0,0.0,0.0,,,
93385012272,PC001081,"유동 자연산 골뱅이, 140g, 22개",99230.0,122900.0,0.0,0.0,0.0,,,
93385012290,PC001081,"유동 자연산 골뱅이, 140g, 23개",103530.0,128200.0,0.0,0.0,0.0,,,
93385012280,PC001081,"유동 자연산골뱅이 140g (24캔), 24개",107840.0,133500.0,0.0,0.0,0.0,,,
93385012274,PC001081,"유동 자연산 골뱅이, 140g, 25개",112140.0,138800.0,0.0,0.0,0.0,,,
93385012261,PC001081,"유동 자연산 골뱅이, 140g, 26개",116340.0,144000.0,0.0,0.0,0.0,,,
93385012266,PC001081,"유동 자연산 골뱅이, 140g, 27개",120650.0,149400.0,0.0,0.0,0.0,,,
93385012295,PC001081,"유동 자연산 골뱅이, 140g, 28개",124950.0,154700.0,0.0,0.0,0.0,,,
93385012259,PC001081,"유동 자연산 골뱅이, 140g, 29개",129260.0,160000.0,0.0,0.0,0.0,,,
93385012275,PC001081,"유동 자연산 골뱅이, 140g, 30개",133560.0,165400.0,0.0,0.0,0.0,,,
93385012324,PC001081,"유동 자연산 골뱅이, 140g, 31개",137870.0,170700.0,0.0,0.0,0.0,,,
93385012278,PC001081,"유동 자연산 골뱅이, 140g, 32개",142170.0,176000.0,0.0,0.0,0.0,,,
93385012296,PC001081,"유동 자연산 골뱅이, 140g, 33개",146370.0,181200.0,0.0,0.0,0.0,,,
93385012286,PC001081,"유동 자연산 골뱅이, 140g, 34개",150680.0,186600.0,0.0,0.0,0.0,,,
93385012269,PC001081,"유동 자연산 골뱅이, 140g, 35개",154980.0,191900.0,0.0,0.0,0.0,,,
93385012302,PC001081,"유동 자연산 골뱅이, 140g, 36개",159290.0,197200.0,0.0,0.0,0.0,,,
93385012282,PC001081,"유동 자연산 골뱅이, 140g, 37개",163590.0,202500.0,0.0,0.0,0.0,,,
93385012291,PC001081,"유동 자연산 골뱅이, 140g, 38개",167900.0,207900.0,0.0,0.0,0.0,,,
93385012297,PC001081,"유동 자연산 골뱅이, 140g, 39개",172200.0,213200.0,0.0,0.0,0.0,,,
93385012287,PC001081,"유동 자연산 골뱅이, 140g, 40개",176510.0,218500.0,0.0,0.0,0.0,,,
93385012329,PC001081,"유동 자연산 골뱅이, 140g, 41개",180710.0,223700.0,0.0,0.0,0.0,,,
93385012292,PC001081,"유동 자연산 골뱅이, 140g, 42개",185010.0,229100.0,0.0,0.0,0.0,,,
93385012270,PC001081,"유동 자연산 골뱅이, 140g, 43개",189320.0,234400.0,0.0,0.0,0.0,,,
93385012299,PC001081,"유동 자연산 골뱅이, 140g, 44개",193620.0,239700.0,0.0,0.0,0.0,,,
93385012264,PC001081,"유동 자연산 골뱅이, 140g, 45개",197930.0,245100.0,0.0,0.0,0.0,,,
93385012289,PC001081,"유동 자연산 골뱅이, 140g, 46개",202230.0,250400.0,0.0,0.0,0.0,,,
93385012330,PC001081,"유동 자연산 골뱅이, 140g, 47개",206540.0,255700.0,0.0,0.0,0.0,,,
93385012285,PC001081,"유동 골뱅이, 140g, 48개",210840.0,261000.0,0.0,0.0,0.0,,,
93384929675,PC002457,"동표 골뱅이 140g 번데기 안주, 1개",7980.0,9900.0,0.0,0.0,0.0,,,
93384929640,PC002457,"동표을지로 골뱅이 통조림, 140g, 2개",13130.0,16300.0,0.0,0.0,0.0,,,
93384929674,PC002457,"동표 을지로 골뱅이 통조림, 140g, 3개",17220.0,21300.0,0.0,0.0,0.0,,,
93384929635,PC002457,"동표을지로 골뱅이 통조림, 140g, 4개",21320.0,26400.0,0.0,0.0,0.0,,,
93384929632,PC002457,"동표을지로 골뱅이 통조림, 140g, 5개",25520.0,31600.0,0.0,0.0,0.0,,,
93384929657,PC002457,"동표을지로 골뱅이 통조림, 140g, 6개",29610.0,36700.0,0.0,0.0,0.0,,,
93384929634,PC002457,"동표을지로 골뱅이 통조림, 140g, 7개",33810.0,41900.0,0.0,0.0,0.0,,,
93384929653,PC002457,"동표을지로 골뱅이 통조림, 140g, 8개",37910.0,46900.0,0.0,0.0,0.0,,,
93384929681,PC002457,"동표을지로 골뱅이 통조림, 140g, 9개",42000.0,52000.0,0.0,0.0,0.0,,,
93384929683,PC002457,"동표을지로 골뱅이 통조림, 140g, 10개",46200.0,57200.0,0.0,0.0,0.0,,,
93384929671,PC002457,"동표을지로 골뱅이 통조림, 140g, 11개",50300.0,62300.0,0.0,0.0,0.0,,,
93384929642,PC002457,"동표을지로 골뱅이 통조림, 140g, 12개",54500.0,67500.0,0.0,0.0,0.0,,,
93384929678,PC002457,"동표을지로 골뱅이 통조림, 140g, 13개",58590.0,72500.0,0.0,0.0,0.0,,,
93384929649,PC002457,"동표을지로 골뱅이 통조림, 140g, 14개",62690.0,77600.0,0.0,0.0,0.0,,,
93384929673,PC002457,"동표을지로 골뱅이 통조림, 140g, 15개",66890.0,82800.0,0.0,0.0,0.0,,,
93384929628,PC002457,"동표을지로 골뱅이 통조림, 140g, 16개",70980.0,87900.0,0.0,0.0,0.0,,,
93384929664,PC002457,"동표을지로 골뱅이 통조림, 140g, 17개",75180.0,93100.0,0.0,0.0,0.0,,,
93384929652,PC002457,"동표을지로 골뱅이 통조림, 140g, 18개",79280.0,98200.0,0.0,0.0,0.0,,,
93384929658,PC002457,"동표을지로 골뱅이 통조림, 140g, 19개",83370.0,103200.0,0.0,0.0,0.0,,,
93384929670,PC002457,"동표을지로 골뱅이 통조림, 140g, 20개",87570.0,108400.0,0.0,0.0,0.0,,,
93384929661,PC002457,"동표을지로 골뱅이 통조림, 140g, 21개",91670.0,113500.0,0.0,0.0,0.0,,,
93384929677,PC002457,"동표을지로 골뱅이 통조림, 140g, 22개",95870.0,118700.0,0.0,0.0,0.0,,,
93384929648,PC002457,"동표을지로 골뱅이 통조림, 140g, 23개",99960.0,123800.0,0.0,0.0,0.0,,,
93384929641,PC002457,"동표을지로 골뱅이 통조림, 140g, 24개",104060.0,128800.0,0.0,0.0,0.0,,,
93384929651,PC002457,"동표을지로 골뱅이 통조림, 140g, 25개",108260.0,134000.0,0.0,0.0,0.0,,,
93384929665,PC002457,"동표을지로 골뱅이 통조림, 140g, 26개",112350.0,139100.0,0.0,0.0,0.0,,,
93384929644,PC002457,"동표을지로 골뱅이 통조림, 140g, 27개",116550.0,144300.0,0.0,0.0,0.0,,,
93384929676,PC002457,"동표을지로 골뱅이 통조림, 140g, 28개",120650.0,149400.0,0.0,0.0,0.0,,,
93384929629,PC002457,"동표을지로 골뱅이 통조림, 140g, 29개",124740.0,154400.0,0.0,0.0,0.0,,,
93384929662,PC002457,"동표을지로 골뱅이 통조림, 140g, 30개",128940.0,159600.0,0.0,0.0,0.0,,,
93384929672,PC002457,"동표을지로 골뱅이 통조림, 140g, 31개",133040.0,164700.0,0.0,0.0,0.0,,,
93384929660,PC002457,"동표을지로 골뱅이 통조림, 140g, 32개",137240.0,169900.0,0.0,0.0,0.0,,,
93384929679,PC002457,"동표을지로 골뱅이 통조림, 140g, 33개",141330.0,175000.0,0.0,0.0,0.0,,,
93384929666,PC002457,"동표을지로 골뱅이 통조림, 140g, 34개",145430.0,180100.0,0.0,0.0,0.0,,,
93384929645,PC002457,"동표을지로 골뱅이 통조림, 140g, 35개",149630.0,185300.0,0.0,0.0,0.0,,,
93384929633,PC002457,"동표을지로 골뱅이 통조림, 140g, 36개",153720.0,190300.0,0.0,0.0,0.0,,,
93384929667,PC002457,"동표을지로 골뱅이 통조림, 140g, 37개",157920.0,195500.0,0.0,0.0,0.0,,,
93384929637,PC002457,"동표을지로 골뱅이 통조림, 140g, 38개",162020.0,200600.0,0.0,0.0,0.0,,,
93384929659,PC002457,"동표을지로 골뱅이 통조림, 140g, 39개",166110.0,205700.0,0.0,0.0,0.0,,,
93384929656,PC002457,"동표을지로 골뱅이 통조림, 140g, 40개",170310.0,210900.0,0.0,0.0,0.0,,,
93384929650,PC002457,"동표을지로 골뱅이 통조림, 140g, 41개",174410.0,215900.0,0.0,0.0,0.0,,,
93384929655,PC002457,"동표을지로 골뱅이 통조림, 140g, 42개",178610.0,221100.0,0.0,0.0,0.0,,,
93384929682,PC002457,"동표을지로 골뱅이 통조림, 140g, 43개",182700.0,226200.0,0.0,0.0,0.0,,,
93384929646,PC002457,"동표을지로 골뱅이 통조림, 140g, 44개",186800.0,231300.0,0.0,0.0,0.0,,,
93384929669,PC002457,"동표을지로 골뱅이 통조림, 140g, 45개",191000.0,236500.0,0.0,0.0,0.0,,,
93384929654,PC002457,"동표을지로 골뱅이 통조림, 140g, 46개",195090.0,241500.0,0.0,0.0,0.0,,,
93384929684,PC002457,"동표을지로 골뱅이 통조림, 140g, 47개",199290.0,246700.0,0.0,0.0,0.0,,,
93384929647,PC002457,"동표 을지로 골뱅이 통조림, 140g, 48개",203390.0,251800.0,0.0,0.0,0.0,,,
93384858202,PC002652,"동원 자연산 골뱅이 통조림, 1개, 1, 140g",7350.0,9100.0,0.0,0.0,0.0,,,
93384858154,PC002652,"[요기푸드] 동원 자연산 골뱅이 140g, 2개",11760.0,14600.0,0.0,0.0,0.0,,,
93384858190,PC002652,"동원 자연산 골뱅이 통조림, 3개, 140g, 140g",15330.0,19000.0,0.0,0.0,0.0,,,
93384858187,PC002652,"동원 자연산 매실청 골뱅이, 4개, 140g",18800.0,23300.0,0.0,0.0,0.0,,,
93384858193,PC002652,"동원 자연산 골뱅이 통조림, 5개, 140g, 140g",22260.0,27600.0,0.0,0.0,0.0,,,
93384858150,PC002652,"동원 자연산 골뱅이, 140g, 6개",25830.0,32000.0,0.0,0.0,0.0,,,
93384858177,PC002652,"동원 통조림 자연산 골뱅이 (140G), 7개, 140g",29300.0,36300.0,0.0,0.0,0.0,,,
93384858198,PC002652,"동원 자연산 골뱅이 140g, 8개",32870.0,40700.0,0.0,0.0,0.0,,,
93384858170,PC002652,"동원 자연산 골뱅이, 9개, 140g",36330.0,45000.0,0.0,0.0,0.0,,,
93384858191,PC002652,"동원 F&B 골뱅이캔 140g, 10개",39800.0,49300.0,0.0,0.0,0.0,,,
93384858185,PC002652,"동원 자연산 골뱅이, 140g, 11개",43370.0,53700.0,0.0,0.0,0.0,,,
93384858173,PC002652,"동원 자연산 골뱅이, 12개, 140g",46830.0,58000.0,0.0,0.0,0.0,,,
