관리코드,식품음료,합포수량,최종분류
20-12-01,음료,1,비타박카스
20-12-02,식품,1,홍삼
20-123,음료,1,이온
20-124,음료,1,이온
20-13,음료,3,기타과즙음료
20-13-01,음료,3,기타과즙음료
20-13-02,식품,1,
20-13-03,식품,1,
20-13-04,식품,1,
20-13-05,음료,1,병류
20-14-02,음료,1,기타과즙음료
20-14-03,음료,1,비타박카스
20-15,음료,3,차
20-18,음료,3,차
20-31,음료,1,차
20-31-01,음료,1,차
20-67,음료,1,홍삼
20-67-01,음료,1,건강 식품
20-90,음료,2,기타과즙음료
20-90-00,음료,1,
20-90-01,음료,2,기타과즙음료
20-90-02,음료,1,기타과즙음료
20-90-05,음료,1,기타과즙음료
20-90-07,음료,1,기타과즙음료
20-90-08,음료,1,기타과즙음료
20-90-09,음료,1,기타과즙음료
20-90-10,음료,1,기타과즙음료
20-90-11,음료,1,기타과즙음료
200-01-02-01,식품,1,기타조미료
200-02,식품,1,기타
200-06,음료,1,건강 식품
200-07,식품,,
200-300-25-55,식품,1,번데기
200-585-88-99,식품,1,기타조미료
203-255-85-88,식품,1,
203-319-30-01,식품,1,
204-134-10-01,음료,1,기타과즙음료
204-134-10-02,음료,1,기타과즙음료
204-134-50-01,음료,1,기타과즙음료
204-134-60-01,식품,1,
208-146-05-01,식품,1,
21-003,음료,3,기타과즙음료
21-003-01,음료,3,기타과즙음료
21-003-02,음료,3,기타과즙음료
21-004,음료,3,기타과즙음료
21-004-01,음료,3,기타과즙음료
21-01,음료,3,커피
21-02,음료,3,커피
21-03-01,음료,4,커피
21-07,음료,2,차
21-08,음료,1,차
21-09,음료,1,차
21-10,음료,1,차
21-100,음료,3,두유
21-101,음료,4,두유
21-101-01,음료,4,두유
21-101-03,음료,1,두유
21-103,음료,1,병류
21-108-01,식품,1,믹스커피류
21-108-02,식품,1,믹스커피류
21-108-05,식품,1,믹스커피류
21-108-110-02,식품,1,믹스커피류
21-108-110-04,음료,1,믹스커피류
21-108-110-06,음료,1,믹스커피류
21-108-110-07,식품,1,믹스커피류
21-108-110-10,식품,1,믹스커피류
21-108-110-11,식품,1,믹스커피류
21-108-110-13,식품,1,믹스커피류
21-114,음료,3,기타과즙음료
21-15-08,음료,2,탄산음료
21-17-03,음료,3,탄산수
21-24,음료,1,생수
21-33,음료,2,탄산음료
21-34,음료,2,탄산음료
21-35,음료,2,탄산음료
21-91,음료,1,병류
21-91-01,음료,1,꿀물
21-910,식품,1,홍삼
21-98-02,음료,1,커피
212-314-10-01,식품,1,기타조미료
213-161-05-01,식품,1,양념장
215-05-09-01,식품,1,
215-06-09-01,식품,1,
215-238-09-03,식품,1,
217-187-10-01,식품,1,스낵류
22-01-01,음료,1,식혜류
22-01-04,음료,3,식혜류
22-01-06,음료,2,식혜류
22-02-04,음료,1,식혜류
22-03,음료,3,커피
22-04,음료,1,식혜류
22-04-00,음료,1,식혜류
22-04-01,음료,1,식혜류
22-04-02,음료,1,식혜류
22-04-03,음료,1,식혜류
22-04-05,음료,2,식혜류
22-04-06,음료,1,식혜류
22-04-08,음료,1,식혜류
22-05.,음료,1,식혜류
22-06,음료,1,건강 식품
22-07,음료,3,커피
22-08,음료,3,식혜류
22-10,음료,2,기타과즙음료
22-10-14,음료,2,기타과즙음료
22-11,음료,2,기타과즙음료
22-11-01,음료,2,기타과즙음료
22-12,음료,2,기타과즙음료
22-13,음료,2,기타과즙음료
22-13-01,음료,2,기타과즙음료
22-13-04,음료,1,기타과즙음료
22-14-05,음료,1,기타과즙음료
22-14-06,음료,1,기타과즙음료
22-14-07,음료,1,기타과즙음료
22-16-02,음료,1,기타과즙음료
22-16-03,음료,1,기타과즙음료
22-16-07,음료,1,기타과즙음료
22-18-01,식품,1,기타
22-22,식품,1,라면류
22-23-01,식품,1,라면류
22-23-05,식품,1,라면류
22-51,식품,1,라면류
22-51-03,식품,1,라면류
22-51-05,식품,1,라면류
22-56,음료,1,비타박카스
22-57,음료,1,비타박카스
22-68,음료,1,식혜류
221-328-05-03,식품,1,
222-171-02-01,식품,1,
224-240-10-01,식품,1,
227-30-07-01,식품,1,
228-233-150-01,식품,1,설탕
23-01,음료,1,기타과즙음료
23-01-01,식품,3,
23-012,음료,2,차
23-05,음료,1,차
23-05-01,음료,1,차
23-07,음료,1,기타과즙음료
23-08,음료,1,기타과즙음료
23-09,음료,1,기타과즙음료
23-10-02,음료,1,기타과즙음료
23-101,음료,1,병류
23-11,음료,1,기타과즙음료
23-12,음료,1,병류
23-13,음료,1,기타과즙음료
23-13-01,식품,1,
23-13-02,음료,1,기타과즙음료
23-13-04,식품,1,
23-14-01,음료,1,기타과즙음료
23-15,음료,1,기타과즙음료
23-15-01,음료,1,기타과즙음료
23-16,음료,3,기타과즙음료
23-17,음료,1,차
23-18,음료,1,차
23-18-01,음료,3,차
23-19,음료,3,기타과즙음료
23-19-01,음료,1,기타과즙음료
23-19-02,음료,1,기타과즙음료
23-19-06,음료,2,기타과즙음료
23-19-09,음료,2,기타과즙음료
23-20,음료,1,병류
23-22,음료,1,차
23-22-02,음료,1,차
23-23,음료,1,기타과즙음료
23-23-01,음료,1,기타과즙음료
23-27,음료,1,병류
23-28,음료,1,기타과즙음료
23-29,음료,1,기타과즙음료
23-30,음료,1,병류
23-31,음료,1,기타과즙음료
23-330,음료,2,병류
23-332,식품,1,
23-333,음료,1,기타과즙음료
23-333-01,음료,1,차
23-34-01,음료,1,기타과즙음료
23-34-03,음료,1,기타과즙음료
23-34-05,음료,1,기타과즙음료
23-35,음료,1,차
23-35-01,음료,1,차
23-35-02,음료,3,차
23-36,음료,3,기타과즙음료
23-36-01,음료,3,기타과즙음료
23-36-02,음료,3,기타과즙음료
23-38,음료,1,기타과즙음료
23-39-01,음료,1,차
23-39-02,음료,1,차
23-39.,음료,1,차
23-39..,음료,1,차
23-40,음료,1,차
23-40-04,음료,1,차
23-40.,음료,1,차
23-41,음료,1,기타과즙음료
23-42,음료,1,기타과즙음료
23-45,음료,1,기타과즙음료
23-48.,음료,1,기타과즙음료
23-49,음료,1,기타과즙음료
23-50,음료,1,기타과즙음료
23-50-05,음료,1,기타과즙음료
23-51-02,음료,1,기타과즙음료
23-51-04,음료,1,기타과즙음료
23-53,음료,2,기타과즙음료
23-54,음료,2,기타과즙음료
23-54-01,음료,1,기타과즙음료
23-54-02,음료,1,기타과즙음료
23-54-03,음료,1,기타과즙음료
23-54-05,음료,2,기타과즙음료
23-55,음료,1,기타과즙음료
23-56,음료,1,기타과즙음료
23-57,음료,1,기타과즙음료
23-60,식품,1,
23-84,식품,1,스팸류
23-85,식품,1,스팸류
23-85-01,식품,1,스팸류
231-06-10-01,식품,1,기타조미료
236-322-10-01,식품,1,
236-555-88-96,식품,1,
24-02,음료,3,기타과즙음료
24-05,음료,2,탄산음료
24-05-01,음료,2,탄산음료
24-05-02,음료,2,탄산음료
24-06-07,음료,2,커피
24-06-08,음료,2,커피
24-06-09,음료,2,커피
24-07,음료,2,커피
24-07-01,음료,2,커피
24-07-03,음료,2,커피
24-070,음료,2,커피
24-071,음료,2,커피
24-071-01,음료,2,커피
24-071-05,음료,1,커피
24-071-07,음료,1,커피
24-08,음료,3,커피
24-08-01,음료,3,커피
24-08-02,음료,3,커피
24-09,음료,2,탄산음료
24-09-01,음료,2,탄산음료
24-09-02,음료,2,탄산음료
24-10,식품,1,믹스커피류
24-11,식품,1,믹스커피류
24-11-01,식품,1,믹스커피류
24-12-05,식품,1,믹스커피류
24-12-10,식품,1,믹스커피류
24-15-01,식품,1,
24-15-03,식품,1,믹스커피류
24-15-05,선물세트,1,선물세트
24-15-08,식품,1,믹스커피류
24-15-30-01,식품,1,
24-16,식품,1,믹스커피류
24-173,음료,2,커피
24-174,음료,2,커피
24-175,음료,2,커피
24-175-01,음료,2,커피
24-28-01,음료,2,커피
24-28-02,음료,2,커피
24-28-03,음료,2,커피
24-34,음료,2,탄산음료
24-34-01,식품,1,
24-34-02,음료,2,비타박카스
24-35-01,음료,1,커피
24-35-02,음료,1,커피
24-35-03,음료,1,커피
24-36,음료,1,커피
24-36-02,음료,1,커피
24-40,음료,1,기타과즙음료
24-40.,음료,1,기타과즙음료
24-49,음료,4,기타과즙음료
24-49-01,음료,4,기타과즙음료
24-49-02,음료,4,기타과즙음료
24-49-04,음료,4,기타과즙음료
24-49-05,음료,4,기타과즙음료
24-52,식품,1,믹스커피류
24-61,음료,2,기타과즙음료
24-62,음료,2,기타과즙음료
24-63,음료,2,기타과즙음료
24-64,음료,2,기타과즙음료
24-65,음료,2,기타과즙음료
24-701,음료,1,병류
24-702,음료,1,병류
24-702-01,음료,1,병류
24-703,음료,1,커피
24-704-04,음료,3,커피
241-134-50-01,식품,1,
241-135-50-01,식품,1,
242-327-130-01,식품,1,기타조미료
243-160-04-01,식품,1,
243-238-08-02,식품,1,
246-06-10-01,식품,1,기타조미료
246-100-30-01,식품,1,
246-100-30-02,식품,1,
246-100-30-03,식품,1,
246-108-10-01,식품,1,
246-108-20-01,식품,1,
246-151-20-01,식품,1,
246-151-30-02,식품,1,
246-219-30-03,식품,1,
247-237-02-01,식품,1,
25-01,음료,1.8,커피
25-01-01,음료,1.8,커피
25-02,음료,1.8,커피
25-08-01,음료,1,커피
25-08-02,식품,1,
25-08-03,식품,1,
25-08-05,식품,1,
25-11,음료,2,탄산음료
25-14-05,음료,1,두유
25-17-04,식품,1,
25-22,음료,2,탄산음료
25-25-02,음료,1,
25-273,음료,1,병류
25-40,음료,1,비타박카스
25-40-02,식품,1,건강 식품
25-40-03,음료,1,건강 식품
25-50-01,음료,2,탄산음료
25-50-02,음료,2,탄산음료
25-50-04,음료,2,탄산음료
25-50-06,음료,1,탄산음료
25-50-07,음료,2,탄산음료
25-50-08,음료,2,탄산음료
25-50-10,음료,2,탄산음료
25-50-11,음료,2,탄산음료
25-50-12,음료,2,탄산음료
25-50-13,음료,1,탄산음료
25-59-03,음료,1,비타박카스
250-214-10-01,식품,1,
251-327-130-01,식품,1,기타조미료
253-78-30-01,식품,1,
254-110-10-01,식품,1,기타
254-173-01-01,식품,1,
254-173-01-02,식품,1,
254-300-01-01,식품,1,
26-01,음료,1,병류
26-02,음료,1,기타과즙음료
26-02-02,음료,1,기타과즙음료
26-02-03,음료,1,기타과즙음료
26-03,음료,1,병류
26-04,음료,1,기타과즙음료
26-04-02,음료,1,기타과즙음료
26-04-03,음료,1,기타과즙음료
26-05,음료,1,기타과즙음료
26-05-09,식품,1,
26-06,음료,1,기타과즙음료
26-06-01,음료,1,기타과즙음료
26-08-02,음료,1,차
26-09-01,음료,1,기타과즙음료
26-10,음료,1,기타과즙음료
26-11,음료,1,기타과즙음료
26-12,음료,1,기타과즙음료
26-13,음료,1,병류
26-27-02,음료,1,기타과즙음료
26-27-03,음료,1,기타과즙음료
26-27-04,음료,1,기타과즙음료
26-27-05,음료,1,기타과즙음료
26-27-06,음료,1,기타과즙음료
26-28,음료,1,차
26-28-01,음료,1,차
26-36,식품,1,
26-36-01,식품,1,
263-326-05-01,식품,1,기타조미료
264-276-10-01,식품,1,
265-12-30-01,식품,1,기타
266-177-10-03,식품,1,
266-42-20-01,식품,1,
27-01,음료,3,탄산음료
27-01-01,음료,2,탄산음료
27-01-02,음료,2,탄산음료
27-01-05,음료,2,탄산음료
27-014,음료,2,탄산음료
27-014-02,음료,2,탄산음료
27-02,음료,2,이온
27-02-04,음료,1,
27-03,음료,2,기타과즙음료
27-03-01,음료,3,기타과즙음료
27-04,음료,2,탄산음료
