상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,리테일규격,입수,품절여부
8801056018900,8801056018900,롯데칠성 칸타타 스위트 아메리카노 275ml,46150.0,46150.0,0.0,0.0,0.0,,,,(6본,48,N
8801056051921,8801056051921,롯데칠성 칸타타 카라멜 마키아토 275ml,49490.0,49490.0,0.0,0.0,0.0,,,,(6본,48,N
8801056032159,8801056032159,롯데칠성 칸타타 콜드브루 블랙 275ml,46150.0,46150.0,0.0,0.0,0.0,,,,(6본,48,N
8801056018948,8801056018948,롯데칠성 칸타타 프리미엄 라떼 275ml,49490.0,49490.0,0.0,0.0,0.0,,,,(6본,48,N
8801056195014,8801056195014,롯데칠성 펩시콜라 1.5L,26300.0,26300.0,0.0,0.0,0.0,,,,1.5L,12,N
8801056051723,8801056051723,롯데칠성 핫식스 355ml,42900.0,42900.0,0.0,0.0,0.0,,,,355ml,48,N
8801056038861,8801056038861,롯데칠성 핫식스 캔 250ml,38610.0,38610.0,0.0,0.0,0.0,,,,250ml,60,N
MAEIL3,MAEIL3,매일 카페라떼 로어슈거 / 카라멜마끼야또,38900.0,38900.0,0.0,0.0,0.0,,,,200ml(12+12),24,N
MAEIL1,MAEIL1,매일 카페라떼 마일드 / 로어슈거,38900.0,38900.0,0.0,0.0,0.0,,,,200ml(12+12),24,N
MAEIL2,MAEIL2,매일 카페라떼 마일드 / 카라멜마끼야또,38900.0,38900.0,0.0,0.0,0.0,,,,200ml(12+12),24,N
8801121103562,8801121103562,매일 카페라떼 카라멜 마끼아또 220ml,44590.0,44590.0,0.0,0.0,0.0,,,,220ml,40,N
8801121103319,8801121103319,매일 카페라떼마일드 220ml,46700.0,46700.0,0.0,0.0,0.0,,,,220ml,40,N
8801121772669,8801121772669,매일 카페라떼마일드 로어슈거 220ml,48110.0,48110.0,0.0,0.0,0.0,,,,220ml,40,N
88002101,88002101,매일 피크닉 사과맛 200ml,38800.0,38800.0,0.0,0.0,0.0,,,,200ml,96,N
48970366691007,48970366691007,몬스터 에너지 드링크 오리지날 그린 355ml,60950.0,60950.0,0.0,0.0,0.0,,,,355ml,48,N
4897036691120,4897036691120,몬스터 에너지 드링크 울트라 355ml,60950.0,60950.0,0.0,0.0,0.0,,,,355ml,48,N
4897036693339,4897036693339,몬스터 에너지 망고로코 355ml,66150.0,66150.0,0.0,0.0,0.0,,,,355ml,48,N
4897036692073,4897036692073,몬스터에너지 울트라시트라 355ml,60950.0,60950.0,0.0,0.0,0.0,,,,355ml,48,N
4897036693728,4897036693728,몬스터에너지 제로슈가 355ml,66150.0,66150.0,0.0,0.0,0.0,,,,355ml,48,N
