상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,사이트상품번호
5456588085,21-108-05,남양 커피믹스 루카스나인 더블샷라떼 30T 4개 무료배송,51700.0,0.0,0.0,0.0,0.0,,,,4324080489
5456588065,08-37-05,백설 고소함가득 참기름 430ml 무료배송,71500.0,0.0,0.0,0.0,0.0,,,,4324080485
5456588063,11-40,동원참치기획 살코기 100g 4입 +고추100g 4입 10박스 내품 총 80개입 무료배송,131400.0,0.0,0.0,0.0,0.0,,,,4324080486
5456588079,28-52-02,미에로 스파클링제로 250ml 30개 무료배송,19000.0,0.0,0.0,0.0,0.0,,,,4324080493
5456588081,BT10EA-28-50,미에로 100ml 40병 무료배송,25900.0,0.0,0.0,0.0,0.0,,,,4324080482
5456588072,100-100,씨그램 플레인 350ml 24페트 무료배송,19300.0,0.0,0.0,0.0,0.0,,,,4324080495
5456588080,BT10EA-20-10,광동 쌍화골드 100ml 40병 무료배송,25600.0,0.0,0.0,0.0,0.0,,,,4324080480
5456588069,39-33,방울이 구포국수 3kg 6개 무료배송,39400.0,0.0,0.0,0.0,0.0,,,,4324080478
5456588070,100-100-02,씨그램 레몬 350ml 24페트 무료배송,19300.0,0.0,0.0,0.0,0.0,,,,4324080481
5456588068,31-04-03,코카콜라제로 업소용 500ml 24개 무료배송,22900.0,0.0,0.0,0.0,0.0,,,,4324080484
5456296166,08-37-05,백설 고소함가득 참기름 430ml,68000.0,0.0,3000.0,0.0,0.0,,,,4323950968
5456279969,BT10EA-28-50,미에로 100ml 40병,22500.0,0.0,3000.0,0.0,0.0,,,,4323943683
5456279712,35-07,참맑은 식혜 175ml 30개,9500.0,0.0,3000.0,0.0,0.0,,,,4323943622
5456279664,BT10EA-20-10,광동 쌍화골드 100ml 40병,22100.0,0.0,3000.0,0.0,0.0,,,,4323943616
5456279642,BT10EA-55-01,헛개 컨디션 100ml 10병,24000.0,0.0,3000.0,0.0,0.0,,,,4323943611
5456279607,23-34-05,웅진 자연은 사과 180ml 30개,10700.0,0.0,3000.0,0.0,0.0,,,,4323943603
5456279602,BT10EA-28-13-05,현대 비타업 100ml 40병,15700.0,0.0,3000.0,0.0,0.0,,,,4323943599
5456279583,28-52-02,미에로 스파클링제로 250ml 30개,15500.0,0.0,3000.0,0.0,0.0,,,,4323943600
5456279479,BT10EA-20-04,광동 비타500 100ml 40병,22000.0,0.0,3000.0,0.0,0.0,,,,4323943568
5456279432,31-03-11,몬스터에너지 오지스타일 레모네이드 355ml 24개,34600.0,0.0,3000.0,0.0,0.0,,,,4323943561
5456279348,BT10EA-28-13,헬씨올리고 100ml 40병,20600.0,0.0,3000.0,0.0,0.0,,,,4323943559
5456279424,12-11-02,동원 쿨피스 파인애플 제로 230ml 30개,12900.0,0.0,3000.0,0.0,0.0,,,,4323943558
5456279366,BT10EA-55-09,HK이노엔 홍삼진병 100ml 40병,18100.0,0.0,3000.0,0.0,0.0,,,,4323943546
5456279359,24-49-02,카프리썬 사파리 200ml 10개,5600.0,0.0,3000.0,0.0,0.0,,,,4323943541
5456279355,21-108-05,남양 커피믹스 루카스나인 더블샷라떼 30T 4개,48300.0,0.0,3000.0,0.0,0.0,,,,4323943542
5456279358,100-100-02,씨그램 레몬 350ml 24페트,15800.0,0.0,3000.0,0.0,0.0,,,,4323943543
5456279353,27-91-03,립톤 제로 복숭아맛 355ml 24개,14800.0,0.0,3000.0,0.0,0.0,,,,4323943544
5456279223,31-01-08,코카콜라제로 업소용 245ml 30개,16300.0,0.0,3000.0,0.0,0.0,,,,4323943529
5456279285,34-21,동원 레몬녹차 350ml 24개,13300.0,0.0,3000.0,0.0,0.0,,,,4323943525
5456279228,100-100-01,씨그램 라임 350ml 24페트,15800.0,0.0,3000.0,0.0,0.0,,,,4323943512
5456279232,39-33,방울이 구포국수 3kg 6개,35900.0,0.0,3000.0,0.0,0.0,,,,4323943510
5456279216,31-04-03,코카콜라제로 업소용 500ml 24개,19500.0,0.0,3000.0,0.0,0.0,,,,4323943503
5456279215,100-100,씨그램 플레인 350ml 24페트,15800.0,0.0,3000.0,0.0,0.0,,,,4323943499
5456279220,11-40,동원참치기획 살코기100g x4+고추100g x4 10박스 총 80개입,127900.0,0.0,3000.0,0.0,0.0,,,,4323943497
5456279214,11-05-04,동원 고추참치 250g 36개,129800.0,0.0,3000.0,0.0,0.0,,,,4323943500
5419542810,67-74-01,명가 꽈배기 흑당 500g 16개 무료배송,102400.0,0.0,0.0,0.0,0.0,,,,4306879304
5419542808,MGG1EA-67-74-01,명가 꽈배기 흑당 500g 1개 무료배송,11000.0,0.0,0.0,0.0,0.0,,,,4306879303
5419542710,MGG1EA-67-74,명가 꽈배기 참깨 500g 1개 무료배송,11000.0,0.0,0.0,0.0,0.0,,,,4306879258
5419542716,67-74,명가 꽈배기 참깨 500g 16개 무료배송,102400.0,0.0,0.0,0.0,0.0,,,,4306879263
5419542713,MGG1EA-67-74-01,명가 꽈배기 흑당 500g 1개,9000.0,0.0,3000.0,0.0,0.0,,,,4306879257
5419542714,67-74,명가 꽈배기 참깨 500g 16개,102400.0,0.0,3000.0,0.0,0.0,,,,4306879254
5419542712,67-74-01,명가 꽈배기 흑당 500g 16개,102400.0,0.0,3000.0,0.0,0.0,,,,4306879256
5419542707,MGG1EA-67-74,명가 꽈배기 참깨 500g 1개,7400.0,0.0,3000.0,0.0,0.0,,,,4306879253
5348485329,51-30-03,동원참치 T18호 3세트 명절 추석 선물세트,145700.0,0.0,3000.0,0.0,0.0,,,,4273610999
5348485332,51-30-03,동원참치 T18호 1세트 명절 추석 선물세트 무료배송,52200.0,0.0,0.0,0.0,0.0,,,,4273610965
5348485330,51-30-03,동원참치 T18호 3세트 명절 추석 선물세트 무료배송,149200.0,0.0,0.0,0.0,0.0,,,,4273610962
5348485328,51-30-03,동원참치 T18호 1세트 명절 추석 선물세트,48800.0,0.0,3000.0,0.0,0.0,,,,4273610960
5331856979,50-71-02,동원 스페셜 5호 1세트 명절 추석 선물세트 무료배송,27000.0,0.0,0.0,0.0,0.0,,,,4266139395
5331856864,50-71-02,동원 스페셜 5호 1세트 명절 추석 선물세트,23500.0,0.0,3000.0,0.0,0.0,,,,4266139311
5331856865,50-71-02,동원 스페셜 5호 5세트 명절 추석 선물세트,116400.0,0.0,3000.0,0.0,0.0,,,,4266139312
5331856868,50-71-02,동원 스페셜 5호 5세트 명절 추석 선물세트 무료배송,119900.0,0.0,0.0,0.0,0.0,,,,4266139305
5263468706,21-100,남양 맛있는 두유 GT 검은콩깨 190ml 72개,30800.0,0.0,3000.0,0.0,0.0,,,,4234461903
5263468614,21-100,남양 맛있는 두유 GT 검은콩깨 190ml 72개 무료배송,34300.0,0.0,0.0,0.0,0.0,,,,4234461851
5263468611,21-100,남양 맛있는 두유 GT 검은콩깨 190ml 24개 무료배송,13800.0,0.0,0.0,0.0,0.0,,,,4234461882
5263468612,21-100,남양 맛있는 두유 GT 검은콩깨 190ml 24개,10300.0,0.0,3000.0,0.0,0.0,,,,4234461852
5201884752,KRPY1EA-67-73,우리곡물 크리스피롤23 크림치즈맛 500g 8개 무료배송,65300.0,0.0,0.0,0.0,0.0,,,,4206686726
5201884704,KRPY1EA-67-73,우리곡물 크리스피롤23 크림치즈맛 500g 1개 무료배송,11800.0,0.0,0.0,0.0,0.0,,,,4206686663
5201884705,KRPY1EA-67-73,우리곡물 크리스피롤23 크림치즈맛 500g 2개 무료배송,20300.0,0.0,0.0,0.0,0.0,,,,4206686661
5201884707,KRPY1EA-67-73,우리곡물 크리스피롤23 크림치즈맛 500g 4개 무료배송,35300.0,0.0,0.0,0.0,0.0,,,,4206686660
5129995820,35-14,참맑은 복분자 175ml 90개 무료배송,33300.0,0.0,0.0,0.0,0.0,,,,4174539216
5129995815,23-13-01,웅징 아침햇살 고구마 500ml 20개 무료배송,30800.0,0.0,0.0,0.0,0.0,,,,4174539212
5129995806,32-16-08,미닛자몽에이드 탄산 355ml 24개 무료배송,20100.0,0.0,0.0,0.0,0.0,,,,4174539201
5129995776,32-19-02,해태 코코팜 피치핑크 캔 340ml 48개 무료배송,38000.0,0.0,0.0,0.0,0.0,,,,4174539183
5129995762,31-17-02,스프라이트 190ml 90개 무료배송,54300.0,0.0,0.0,0.0,0.0,,,,4174539177
5129995693,23-48.,웅진 자연은 망고 캔 180ml 90개 무료배송,36700.0,0.0,0.0,0.0,0.0,,,,4174539175
5129995759,32-16-08,미닛자몽에이드 탄산 355ml 48개 무료배송,37100.0,0.0,0.0,0.0,0.0,,,,4174539178
5129995757,14-01-01,펭귄 김치꽁치 380g 24개 무료배송,54200.0,0.0,0.0,0.0,0.0,,,,4174539210
