상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,수수료raw,옵션번호,옵션명
249860,27-04-01,롯데칠성 밀키스 캔 340ml 24개,14200.0,20200.0,3000.0,0.0,0.0,,,,4.5,510553,롯데칠성 밀키스 캔 340ml 24개
249859,23-54-03,웅진 자연은 요거새콤파인애플 1.5L 12개,15100.0,21100.0,3000.0,0.0,0.0,,,,4.5,510552,웅진 자연은 요거새콤파인애플 1.5L 12개
249857,32-30-01,해태 갈아만든배 사이다 1.5L 12개,23800.0,29800.0,3000.0,0.0,0.0,,,,4.5,510550,해태 갈아만든배 사이다 1.5L 12개
249855,24-49,카프리썬 오렌지 200ml 10개,5100.0,11100.0,3000.0,0.0,0.0,,,,4.5,510548,카프리썬 오렌지 200ml 10개
249853,24-49-01,카프리썬 오렌지망고 200ml 10개,5100.0,11100.0,3000.0,0.0,0.0,,,,4.5,510546,카프리썬 오렌지망고 200ml 10개
249852,24-49-02,카프리썬 사파리 200ml 10개,5000.0,11000.0,3000.0,0.0,0.0,,,,4.5,510545,카프리썬 사파리 200ml 10개
249850,22-08,팔도 비락밥알없는식혜 175ml 30개,8800.0,14800.0,3000.0,0.0,0.0,,,,4.5,510543,팔도 비락밥알없는식혜 175ml 30개
249848,22-05.,비락 식혜 500ml 12개,14300.0,20300.0,3000.0,0.0,0.0,,,,4.5,510541,비락 식혜 500ml 12개
249847,32-01-02,해태 포도봉봉 340ml 24개,14900.0,20900.0,3000.0,0.0,0.0,,,,4.5,510540,해태 포도봉봉 340ml 24개
249846,29-23,일화 천연사이다 500ml 20개,15400.0,21400.0,3000.0,0.0,0.0,,,,4.5,510539,일화 천연사이다 500ml 20개
249845,27-03-01,실론티 175ml 30캔,10700.0,16700.0,3000.0,0.0,0.0,,,,4.5,510538,실론티 175ml 30캔
249844,29-02,일화 맥콜 1.5L 12개,17900.0,23900.0,3000.0,0.0,0.0,,,,4.5,510537,일화 맥콜 1.5L 12개
249842,35-02,참맑은 보성녹차 캔 175ml 30개,7300.0,13300.0,3000.0,0.0,0.0,,,,4.5,510535,참맑은 녹차 캔 175ml 30개
249841,24-05,농심 웰치스 포도 355ml 24개,16800.0,22800.0,3000.0,0.0,0.0,,,,4.5,510534,농심 웰치스 포도 355ml 24개
249840,20-18,광동 옥수수수염차 캔 180ml 30개,8400.0,13400.0,3000.0,0.0,0.0,,,,4.5,510533,광동 옥수수수염차 캔 180ml 30개
249838,27-20-03,델몬트 망고 1.5L 6개입,17700.0,23700.0,3000.0,0.0,0.0,,,,4.5,510531,델몬트 망고 1.5L 6개입
249837,28-20-01,동아제약 오란씨 오렌지맛 250ml 30개,12700.0,18700.0,3000.0,0.0,0.0,,,,4.5,510530,동아제약 오란씨 오렌지맛 250ml 30개
249836,24-49-04,카프리썬 사과 200ml 10개,5100.0,11100.0,3000.0,0.0,0.0,,,,4.5,510529,카프리썬 사과 200ml 10개
249834,29-08,일화 탑씨 파인애플 1.5L 12개,12900.0,16900.0,3000.0,0.0,0.0,,,,4.5,510527,일화 탑씨 파인애플 1.5L 12개
249833,23-07,웅진 초록매실 1.5L 12개,26900.0,27800.0,3000.0,0.0,0.0,,,,4.5,510526,웅진 초록매실 1.5L 12개
249832,32-18-01,해태 갈아만든배 340ml 24개,16000.0,22000.0,3000.0,0.0,0.0,,,,4.5,510525,해태 갈아만든배 340ml 24개
249831,29-01-03,일화 맥콜 350ml 24개,12500.0,18500.0,3000.0,0.0,0.0,,,,4.5,510524,일화 맥콜 350ml 24개
249830,35-18-03,참맑은 cool사이다 175ml 30개,9200.0,15200.0,3000.0,0.0,0.0,,,,4.5,510523,참맑은 cool사이다 175ml 30개
249829,27-15-03,롯데 펩시콜라 245ml 업소용 슬림 30개,13000.0,19000.0,3000.0,0.0,0.0,,,,4.5,510522,롯데 펩시콜라 245ml 업소용 슬림 30개
249826,29-07-01,일화 탑씨 포도 1.5L 12개,13000.0,17000.0,3000.0,0.0,0.0,,,,4.5,510519,일화 탑씨 포도 1.5L 12개
249825,12-01-01,동원 보성녹차 340ml 24개,11000.0,17000.0,3000.0,0.0,0.0,,,,4.5,510518,동원 보성녹차 340ml 24개
249824,29-03,일화 맥콜 500ml 20개,18500.0,24500.0,3000.0,0.0,0.0,,,,4.5,510517,일화 맥콜 500ml 20개
249823,31-47,환타  업소용 오렌지 캔 350ml 24개,15900.0,21900.0,3000.0,0.0,0.0,,,,4.5,510516,환타 업소용 오렌지 캔 355ml 24개
249822,31-01-04,코카콜라 245ml 30개(업소용),17200.0,22000.0,3000.0,0.0,0.0,,,,4.5,510515,코카콜라 245ml 30개(업소용)
249821,28-01,포카리스웨트 캔 245ml 30개,20400.0,26400.0,3000.0,0.0,0.0,,,,4.5,510514,포카리스웨트 캔 245ml 30개
249819,23-19-01,초록매실 캔 180ml 90개,29300.0,35300.0,3000.0,0.0,0.0,,,,4.5,510512,초록매실 캔 180ml 90개
249818,22-13,팔도 뽀로로 블루베리 235ml 24개,18900.0,24900.0,3000.0,0.0,0.0,,,,7,510511,팔도 뽀로로 블루베리 235ml 24개
249817,35-08,참맑은 벌꿀 캔175ml 30개,9200.0,15200.0,3000.0,0.0,0.0,,,,4.5,510510,참맑은 벌꿀 캔175ml 30개
249816,32-01-03,해태 복숭아봉봉 340ml 24개,59100.0,65100.0,3000.0,0.0,0.0,,,,4.5,510509,해태 복숭아봉봉 340ml 24개
249813,21-003-01,남양 과수원 복숭아 200ml 24개,7000.0,13000.0,3000.0,0.0,0.0,,,,4.5,510506,남양 과수원 복숭아 200ml 24개
249812,30-12-02,진로 블랙보리 1.5L 12개,16100.0,22100.0,3000.0,0.0,0.0,,,,4.5,510505,진로 블랙보리 1.5L 12개
249810,28-51,현대제약 미에로화이바 210ml 40개,34000.0,35100.0,3000.0,0.0,0.0,,,,4.5,510503,현대제약 미에로화이바 210ml 40개
249809,31-11,캐나다드라이 토닉워터 캔 250ml 30개,16200.0,22200.0,3000.0,0.0,0.0,,,,4.5,510502,캐나다드라이 토닉워터 캔 250ml 30개
249807,31-42-02,환타 오렌지 캔 250ml 30개,18900.0,24900.0,3000.0,0.0,0.0,,,,4.5,510500,환타 오렌지 캔 250ml 30개
249805,28-24-01,동아제약 오로나민C 120ml 50개,36200.0,42200.0,3000.0,0.0,0.0,,,,4.5,510498,동아제약 오로나민C 120ml 50개
249804,32-21,해태 코코팜화이트 240ml 30캔,17300.0,23300.0,3000.0,0.0,0.0,,,,4.5,510497,해태 코코팜화이트 240ml 30캔
249803,31-22-02,코라콜라 제로 업소용 355ml 24개,19100.0,24100.0,3000.0,0.0,0.0,,,,4.5,510496,코라콜라 제로 업소용 355ml 24개
249802,23-54-02,웅진 자연은 요거상큼복숭아 1.5L 12개,15300.0,21300.0,3000.0,0.0,0.0,,,,4.5,510495,웅진 자연은 요거상큼복숭아 1.5L 12개
249801,21-17-03,트레비 190ml 캔 30개,10200.0,16200.0,3000.0,0.0,0.0,,,,4.5,510494,트레비 190ml 캔 30개
