대분류명,중분류명,소분류명,상품코드,관리코드,상품명,규격,박스내품,매입단가,박스매입단가,매출단가,박스매출단가,매익률,최종재고,박스,낱개,최대 주문수량,긴글비고,판매자관리코드,SKU코드
기본 대분류,세제외-A동,CJ제일제당,000191,08-19,해찬들/우리쌀고추장골드1kg*12통,1k*12 통,12,6167,74004,7500,90000,0.2162,0,0,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000192,08-19.,해찬들/우리쌀고추장골드1k(매운맛)통,1kg*12통,12,6083,72996,7083,84996,0.1644,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000193,08-21..,해찬들/알찬고추장6.5,6.5kg*2,2,13500,27000,20000,40000,0.4815,4,2,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000194,08-21.,해찬들 알찬 고추장4.5kg,4.5kg*2,2,7000,14000,9000,18000,0.2857,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000195,08-09.,해찬들/알찬고추장14k,14k,1,28500,28500,32000,32000,0.1228,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000196,08-16,해찬들/사계절쌈장500g통 (48),500g*20,20,1450,29000,2000,40000,0.3793,0,0,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000197,08-15,해찬들/쌈장1k/P,1k*12,12,2860,34320,4166,49992,0.4566,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000198,08-14,해찬들/쌈장170g,170g*24,24,800,19200,1042,25008,0.3025,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000199,62-53,해찬들/시골된장3kg,3kg*4,4,10000,40000,11250,45000,0.125,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000200,08-23,해찬들/새콤초고추장170g,170g*24(P),24,800,19200,1000,24000,0.25,0,0,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000201,08-09-01,해찬들 새콤달콤 초고추장500g (50),500g*20,20,1750,35000,2400,48000,0.3714,0,0,0,0,,,
