상호명,구분,첫확인,출처,비고
(주)나들커뮤니케이션,나들,2026-08-03,export:2026-08-01~2026-09-07,
#주식회사한서종합물류,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주) 대하식자재마트,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주) 팀쿡코리아(이천),사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)강남상사(석촌동원),사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)그린로드,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)대광로지스틱스,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
(주)한마음식자재클럽,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
대산에프앤비,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
전국식자재물류협동조합,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
주식회사 티제이에스리테일,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
주식회사 푸드앤플러스,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
한마음식자재마트 향남점,사업부밖,2026-09-07,전사파케이 8/1~9/7에 있으나 인터넷사업부 export에 없음 → 오프라인 확정,
# (주) 이유비즈글로벌,온라인B2B,2026-08-25,export:2026-08-01~2026-09-07,
# (주) 한국임업,온라인B2B,2026-09-01,export:2026-08-01~2026-09-07,
# 성호상사,온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
# 엔플러스병원,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
# 일만종합상사,온라인B2B,2026-08-27,export:2026-08-01~2026-09-07,
(사) 부산장애인부모회 기장지회,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
(사) 전라남도 지적장애인복지협회 나주시지부,온라인B2B,2026-08-26,export:2026-08-01~2026-09-07,
(주) 곰두리종합관리,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
(주) 리더스코리아코퍼레이션,온라인B2B,2026-08-06,export:2026-08-01~2026-09-07,
(주) 송림농산,온라인B2B,2026-08-20,export:2026-08-01~2026-09-07,
(주) 엘본에이치앤비,온라인B2B,2026-08-28,export:2026-08-01~2026-09-07,
(주) 제이앤제이세이프,온라인B2B,2026-09-01,export:2026-08-01~2026-09-07,
(주) 진주스틸,온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
(주) 한진,온라인B2B,2026-08-31,export:2026-08-01~2026-09-07,
(주)선스카이,온라인B2B,2026-08-07,export:2026-08-01~2026-09-07,
(주)천우오토파츠 (카드),온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
(주)하이온,온라인B2B,2026-08-21,export:2026-08-01~2026-09-07,
KJ플로링,온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
가족나눔요양센터,온라인B2B,2026-08-31,export:2026-08-01~2026-09-07,
금오종합유통·광고,온라인B2B,2026-08-28,export:2026-08-01~2026-09-07,
단성솔루션,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
대성씨엠,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
멸치(현금출고),온라인B2B,2026-08-07,export:2026-08-01~2026-09-07,
모어홈,온라인B2B,2026-08-21,export:2026-08-01~2026-09-07,
모티브링크 주식회사,온라인B2B,2026-09-02,export:2026-08-01~2026-09-07,
반도카,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
에이치라이프,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
원통막국수,온라인B2B,2026-08-03,export:2026-08-01~2026-09-07,
월계시영고층아파트입주자대표회의,온라인B2B,2026-08-25,export:2026-08-01~2026-09-07,
유비통상 (주),온라인B2B,2026-09-01,export:2026-08-01~2026-09-07,
유성안전상사,온라인B2B,2026-08-05,export:2026-08-01~2026-09-07,
유진철강산업 (주),온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
제이티유통,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,상시 B2B 공급처(단가표 운영) — 온라인B2B로 분류(2026-09-07 확정)
주식회사 다온푸드서비스,온라인B2B,2026-08-21,export:2026-08-01~2026-09-07,
주식회사 대윤시스템,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
주식회사 리테일앤인사이트,주요-오픈마켓,2026-08-01,export:2026-08-01~2026-09-07,상시 B2B 공급처(단가표 운영) — 온라인B2B로 분류(2026-09-07 확정)
주식회사 멸치,온라인B2B,2026-09-01,export:2026-08-01~2026-09-07,
주식회사 스토어링크_지구스토어 서울지점,온라인B2B,2026-08-11,export:2026-08-01~2026-09-07,
주식회사 신산업,온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
주식회사 지안앤디,온라인B2B,2026-09-03,export:2026-08-01~2026-09-07,
주식회사 태성전기,온라인B2B,2026-09-02,export:2026-08-01~2026-09-07,
주식회사 팀와이퍼,온라인B2B,2026-09-04,export:2026-08-01~2026-09-07,
주식회사 한국건설자재,온라인B2B,2026-09-02,export:2026-08-01~2026-09-07,
탈북민희망봉사단,온라인B2B,2026-08-18,export:2026-08-01~2026-09-07,
한빛스틸,온라인B2B,2026-09-02,export:2026-08-01~2026-09-07,
쿠팡(로켓창고),제외,2026-08-21,export:2026-08-01~2026-09-07,위탁재고 계정 — 매출처 아님
한진택배 파손,제외,2026-08-03,export:2026-08-01~2026-09-07,파손 보상 계정 — 매출처 아님
오픈마켓 (주) 한국신용데이터,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓 쿠팡 (윙배송),주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓(ESM/옥션.지마켓.G9),주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓- (주) 마켓보로,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓- (주) 우아한형제들,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓- 스마트스토어,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓- 알리,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
오픈마켓- 올웨이즈,주요-오픈마켓,2026-08-03,export:2026-08-01~2026-09-07,
태동마트 자사몰,주요-자사몰,2026-08-04,export:2026-08-01~2026-09-07,
공구상사,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
# (주)성신미네필드,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
주식회사 컨펌스,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
빅세일컴퍼니,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
(재) 천주교서울대교구유지재단 1,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
주식회사 명지시넥스,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
주식회사 레인버스,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
제이엘(JL),온라인B2B,2026-09-08,사업부 export 20260801-20260908,
영메디칼의료기,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
"현풍카고크레인, 삼성렌탈",온라인B2B,2026-09-08,사업부 export 20260801-20260908,
(재) 천주교서울대교구유지재단 2,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
센로지스 주식회사,온라인B2B,2026-09-08,사업부 export 20260801-20260908,
(주)삼일유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)마장상사 ★3시반까지 배송,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)에스제이 포천 (삼주),사업부밖,2026-09-08,사업부 export 20260801-20260908,
#(주)승용종합상사(춘천),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주) 비투머스 (구 선수존),사업부밖,2026-09-08,사업부 export 20260801-20260908,
#안양푸드시스템,사업부밖,2026-09-08,사업부 export 20260801-20260908,
청음,사업부밖,2026-09-08,사업부 export 20260801-20260908,
$) 대상 주식회사 (하남)오전11시이전 입고,사업부밖,2026-09-08,사업부 export 20260801-20260908,
백두유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
은진유통 (김포),사업부밖,2026-09-08,사업부 export 20260801-20260908,
월말# 남양신갈에프엔비,사업부밖,2026-09-08,사업부 export 20260801-20260908,
월푸상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
"(주)서초광동(구 진성,자연유통)",사업부밖,2026-09-08,사업부 export 20260801-20260908,
# (주)서울푸드시스템 (곤지암) 12~13시 점심시간,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)제이엘엠통상(본전)/ 3시까지(점심12시-13시),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)원물류(에스알),사업부밖,2026-09-08,사업부 export 20260801-20260908,
동아상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
행복종합마켓,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)푸드올마켓,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)대박,사업부밖,2026-09-08,사업부 export 20260801-20260908,
행복음료,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)음료창고화인,사업부밖,2026-09-08,사업부 export 20260801-20260908,
성진유통 6631,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 봉농,사업부밖,2026-09-08,사업부 export 20260801-20260908,
삼일통상(구 국제유통),사업부밖,2026-09-08,사업부 export 20260801-20260908,
다봄푸드 주식회사(광주 장지동),사업부밖,2026-09-08,사업부 export 20260801-20260908,
하나유통(서이천),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)충남에프앤지,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 벨코스인터내셔널 (구 프리미엄 디스트리뷰션),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주) 보검,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 이든,사업부밖,2026-09-08,사업부 export 20260801-20260908,
상대유통(주),사업부밖,2026-09-08,사업부 export 20260801-20260908,
# 프리존 컴퍼니,사업부밖,2026-09-08,사업부 export 20260801-20260908,
보성유통(화곡),사업부밖,2026-09-08,사업부 export 20260801-20260908,
경춘식자재마트 (이천 부발),사업부밖,2026-09-08,사업부 export 20260801-20260908,
코카콜라 신호매실점,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 오늘,사업부밖,2026-09-08,사업부 export 20260801-20260908,
세진유통(경산점),사업부밖,2026-09-08,사업부 export 20260801-20260908,
서대문몰 (구 서대문유통),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)서진에프엔비(내곡리),사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 한비가 (오후2시~4시 이전 배송),사업부밖,2026-09-08,사업부 export 20260801-20260908,
나우,사업부밖,2026-09-08,사업부 export 20260801-20260908,
조가네물류,사업부밖,2026-09-08,사업부 export 20260801-20260908,
대승상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 미드미푸드,사업부밖,2026-09-08,사업부 export 20260801-20260908,
대화유통(구 대박상회) 0715 상상곡동,사업부밖,2026-09-08,사업부 export 20260801-20260908,
다향유통(감북동),사업부밖,2026-09-08,사업부 export 20260801-20260908,
하나푸드,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)에스디상사(용인),사업부밖,2026-09-08,사업부 export 20260801-20260908,
고려식품판매(주),사업부밖,2026-09-08,사업부 export 20260801-20260908,
우리상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
진천상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)건호물류,사업부밖,2026-09-08,사업부 export 20260801-20260908,
롯데칠성교하 직판 대리점,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 제이더블유푸드 (상산곡동)=0302,사업부밖,2026-09-08,사업부 export 20260801-20260908,
태상,사업부밖,2026-09-08,사업부 export 20260801-20260908,
경북능금농협 강화대리점,사업부밖,2026-09-08,사업부 export 20260801-20260908,
영보유통 (공항동) ★2시까지 배송요망,사업부밖,2026-09-08,사업부 export 20260801-20260908,
이에스마트 (구 신중구),사업부밖,2026-09-08,사업부 export 20260801-20260908,
명진상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
경기유통(하남아도),사업부밖,2026-09-08,사업부 export 20260801-20260908,
#야긴,사업부밖,2026-09-08,사업부 export 20260801-20260908,
지우유통(성남),사업부밖,2026-09-08,사업부 export 20260801-20260908,
세진유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
에스에스(ss)유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
한성 ★수요일은 오전배송★,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 개성푸드,사업부밖,2026-09-08,사업부 export 20260801-20260908,
뉴월드마트(김포),사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 케이엠인더스트리,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 대박물류,사업부밖,2026-09-08,사업부 export 20260801-20260908,
준호상회,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주) 유정에프앤비,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)한올,사업부밖,2026-09-08,사업부 export 20260801-20260908,
별미FND (구 별미푸드),사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 에스에이치푸드시스템,사업부밖,2026-09-08,사업부 export 20260801-20260908,
승민몰,사업부밖,2026-09-08,사업부 export 20260801-20260908,
# 으뜸유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
수지통상(광주),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)안호균종합식품,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(유) 라온,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)바이블/ 성경마트 (태전동) ★3시까지배송,사업부밖,2026-09-08,사업부 export 20260801-20260908,
해태훼미리쥬스춘천대리점,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주) 스마일푸드(하남 창우동),사업부밖,2026-09-08,사업부 export 20260801-20260908,
# (주) 대방식자재마트 (광주 삼동),사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 정푸드(와부)(오후3시퇴근),사업부밖,2026-09-08,사업부 export 20260801-20260908,
F&P 반도,사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 링커,사업부밖,2026-09-08,사업부 export 20260801-20260908,
# (주)이강유통크로바쇼핑/오전배송,사업부밖,2026-09-08,사업부 export 20260801-20260908,
D마켓,사업부밖,2026-09-08,사업부 export 20260801-20260908,
# 주식회사 진로마트 (구리수택동),사업부밖,2026-09-08,사업부 export 20260801-20260908,
다농산업(주)가락점,사업부밖,2026-09-08,사업부 export 20260801-20260908,
동서해종합식품,사업부밖,2026-09-08,사업부 export 20260801-20260908,
웅진식품오산대리점,사업부밖,2026-09-08,사업부 export 20260801-20260908,
청수상사,사업부밖,2026-09-08,사업부 export 20260801-20260908,
조아유통(왕),사업부밖,2026-09-08,사업부 export 20260801-20260908,
롯데칠성음료 수정점 (케이엘유통),사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주)상상초월마트/엘마트(곤지암),사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 지와이로지스,사업부밖,2026-09-08,사업부 export 20260801-20260908,
상도F&B,사업부밖,2026-09-08,사업부 export 20260801-20260908,
(주) 올바른농업회사법인(진천농산) 오전11시,사업부밖,2026-09-08,사업부 export 20260801-20260908,
원당에프앤비,사업부밖,2026-09-08,사업부 export 20260801-20260908,
굴렁쇠 (주)굴렁쇠 천안 신당동,사업부밖,2026-09-08,사업부 export 20260801-20260908,
중부유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
# (주) 월드식자재마트 오산점 (가장동),사업부밖,2026-09-08,사업부 export 20260801-20260908,
주식회사 디엔엘유통,사업부밖,2026-09-08,사업부 export 20260801-20260908,
